"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"Cables1",736,703,605,472,582,592,569,767
"Rbbp8",782,993,753,1264,1492,1442,1051,932
"Gata6",286,490,297,195,255,327,265,332
"Mib1",6118,7724,5885,6822,7484,7978,5979,8324
"Abhd3",123,124,67,22,35,44,36,120
"Snrpd1",245,234,154,383,457,444,346,264
"Esco1",1201,1602,1145,1259,1495,1464,1149,1573
"Greb1l",168,272,279,122,188,172,146,263
"Rock1",2019,2753,2039,2571,2853,3078,2429,2675
"Usp14",1252,1291,1114,1455,1676,1645,1257,1493
"Thoc1",555,651,511,604,759,716,573,746
"Colec12",1398,1491,1332,1368,1861,1676,1887,1795
"Cetn1",0,0,0,0,0,0,0,0
"Gm7094",0,0,0,0,0,0,0,0
"B230307C23Rik",1,0,0,1,0,1,0,0
"Tspan33",91,160,77,85,97,57,71,105
"Smo",1111,1277,974,880,1111,1002,852,1111
"Ahcyl2",1707,1942,1459,2376,2550,2642,2086,2070
"Strip2",214,314,239,171,232,365,238,266
"Nrf1",1060,1258,998,1181,1419,1353,1112,1264
"Ube2h",4860,4376,3029,3482,4511,4472,3392,5979
"Zc3hc1",357,375,294,343,446,436,325,368
"Klhdc10",1611,1736,1402,1714,2002,1922,1425,1938
"Tmem209",475,586,410,708,796,796,607,590
"Ssmem1",19,18,12,10,18,11,11,15
"Cpa2",3,7,7,11,11,12,13,3
"Cpa4",2431,3991,2575,5117,7673,6915,4390,3831
"Cpa5",26,29,21,68,81,82,79,52
"Cpa1",0,0,1,0,0,0,0,0
"Cep41",90,92,81,140,136,186,131,116
"Mest",156,235,169,356,404,368,388,260
"Copg2",1222,1526,1117,1424,1564,1434,1111,1462
"Tsga13",0,0,0,0,1,0,1,0
"Klf14",4,10,7,1,3,3,3,2
"Mkln1",2099,2767,2113,1654,2145,2151,1619,2723
"Podxl",589,700,608,677,799,737,716,758
"1700012A03Rik",0,0,0,0,0,0,0,0
"Plxna4",926,1937,1215,1164,1603,1390,1303,1621
"Chchd3",1748,2315,1577,1489,2147,1831,1399,2063
"Exoc4",1462,2091,1600,1519,2012,2005,1531,2106
"Lrguk",10,8,9,9,6,0,6,5
"Slc35b4",462,492,446,400,468,433,336,479
"Akr1b3",1358,1225,1143,766,1130,1038,963,1217
"Akr1b10",2,3,4,1,5,3,2,1
"Akr1b8",74,103,63,758,814,559,692,96
"Bpgm",1188,1045,863,905,1102,1007,814,1114
"Cald1",3272,3015,2431,1639,2154,2854,2240,4638
"Agbl3",61,82,69,34,49,56,31,59
"Tmem140",37,41,48,19,54,61,42,38
"Cyren",88,101,50,47,48,79,62,75
"Wdr91",824,960,591,649,818,899,670,940
"Stra8",0,0,0,0,0,0,0,0
"Slc23a4",38,1,2,6,24,1,19,47
"Cnot4",855,1324,1000,965,1130,1130,979,1312
"Nup205",1468,1636,1305,1984,2242,2263,1836,1603
"1810058I24Rik",986,1165,840,626,741,719,659,1072
"Slc13a4",24,42,25,14,17,16,22,33
"Fam180a",41,23,36,12,19,9,14,71
"Mtpn",5872,8096,5938,8850,9946,9817,7902,7801
